Year,Cover
1985,29.0
1986,28.9
1987,28.9
1988,28.9
1989,27.5
1990,27.6
1991,27.0
1992,27.0
1993,27.4
1994,27.7
1995,28.1
1996,28.4
1997,28.7
1998,25.1
1999,25.7
2000,26.4
2001,27.0
2002,21.9
2003,22.7
2004,23.7
2005,23.0
2006,22.2
2007,23.5
2008,24.7
2009,17.7
2010,17.5
2011,17.2
2012,18.1
2013,19.3
2014,19.9
2015,18.3
2016,15.6
2017,13.7
2018,14.9
2019,16.5
2020,16.0
2021,15.9
2022,15.3
2023,15.0
2024,14.5
2025,14.5
2026,14.0
2027,13.4
2028,12.9
2029,12.8
2030,12.8
2031,12.4
2032,12.0
2033,11.9
2034,11.3
2035,10.5
2036,10.2
2037,9.7
2038,9.4
2039,9.1
2040,8.7
2041,8.3
2042,8.0
2043,7.2
2044,6.9
2045,6.6
2046,6.2
2047,5.9
2048,5.5
2049,5.4
2050,5.0
2051,4.7
2052,4.8
2053,4.6
2054,4.7
2055,4.3
2056,4.1
2057,3.8
2058,3.4
2059,3.0
2060,2.8
2061,2.8
2062,2.7
2063,2.6
2064,2.5
2065,2.4
2066,2.2
2067,2.0
2068,2.0
2069,1.9
2070,1.9
