Year,Cover
1985,29.0
1986,28.9
1987,28.9
1988,28.9
1989,27.5
1990,27.6
1991,27.0
1992,27.0
1993,27.4
1994,27.7
1995,28.1
1996,28.4
1997,28.7
1998,25.1
1999,25.7
2000,26.4
2001,27.0
2002,21.9
2003,22.7
2004,23.7
2005,23.0
2006,22.2
2007,23.5
2008,24.7
2009,17.7
2010,17.5
2011,17.2
2012,18.1
2013,19.3
2014,19.9
2015,18.3
2016,15.6
2017,13.7
2018,14.9
2019,16.5
2020,16.0
2021,15.8
2022,15.3
2023,14.9
2024,14.3
2025,13.9
2026,13.5
2027,13.1
2028,12.9
2029,12.7
2030,12.2
2031,11.5
2032,11.4
2033,11.3
2034,11.0
2035,10.6
2036,10.0
2037,9.9
2038,9.5
2039,9.2
2040,9.1
2041,8.6
2042,8.1
2043,7.4
2044,7.3
2045,7.1
2046,7.1
2047,6.8
2048,6.7
2049,6.5
2050,6.2
2051,5.8
2052,5.3
2053,5.1
2054,4.9
2055,4.8
2056,4.6
2057,4.4
2058,4.3
2059,4.1
2060,4.0
2061,3.9
2062,3.7
2063,3.5
2064,3.4
2065,3.5
2066,3.4
2067,3.4
2068,3.4
2069,3.2
2070,3.0
